packet_id,packet_summary,expected_template,group_id,is_anomaly,annotation_note
0,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
1,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
2,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
3,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
4,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
5,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
6,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
7,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
8,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
9,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
10,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
11,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
12,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
13,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
14,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
15,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
16,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
17,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
18,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
19,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
20,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
21,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
22,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
23,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
24,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
25,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
26,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
27,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
28,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
29,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
30,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
31,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
32,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
33,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
34,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
35,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
36,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
37,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
38,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
39,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
40,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
41,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
42,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
43,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
44,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
45,DNP3 communication packet,SRC=<IP> DST=<IP> PROTO=<PROTO> LINK_FUNC=<NUMBER>,DNP3_PCAP,False,Placeholder PCAP annotation for protocol-aware parsing evaluation
