Unnamed: 0.1,Unnamed: 0,flow ID,source IP,destination IP,source port,destination port,protocol,date,duration,TotalFwdPkts,TotalBwdPkts,TotLenfwdDL,TotLenfwdTR,TotLenfwdAPP,TotLenbwdDL,TotLenbwdTR,TotLenbwdAPP,DLfwdPktLenMAX,DLfwdPktLenMIN,DLfwdPktLenMEAN,DLfwdPktLenSTD,TRfwdPktLenMAX,TRfwdPktLenMIN,TRfwdPktLenMEAN,TRfwdPktLenSTD,APPfwdPktLenMAX,APPfwdPktLenMIN,APPfwdPktLenMEAN,APPfwdPktLenSTD,DLbwdPktLenMAX,DLbwdPktLenMIN,DLbwdPktLenMEAN,DLbwdPktLenSTD,TRbwdPktLenMAX,TRbwdPktLenMIN,TRbwdPktLenMEAN,TRbwdPktLenSTD,APPbwdPktLenMAX,APPbwdPktLenMIN,APPbwdPktLenMEAN,APPbwdPktLenSTD,DLflowBytes/sec,TRflowBytes/sec,APPflowBytes/sec,FlowPkts/sec,FlowIAT_MEAN,FlowIAT_STD,FlowIAT_MAX,FlowIAT_MIN,TotalFwdIAT,fwdIAT_MEAN,fwdIAT_STD,fwdIAT_MAX,fwdIAT_MIN,TotalBwdIAT,bwdIAT_MEAN,bwdIAT_STD,bwdIAT_MAX,bwdIAT_MIN,DLfwdHdrLen,TRfwdHdrLen,APPfwdHdrLen,DLbwdHdrLen,TRbwdHdrLen,APPbwdHdrLen,fwdPkts/sec,bwdPkts/sec,DLpktLenMEAN,DLpktLenMIN,DLpktLenMAX,DLpktLenSTD,DLpktLenVAR,TRpktLenMEAN,TRpktLenMIN,TRpktLenMAX,TRpktLenSTD,TRpktLenVAR,APPpktLenMEAN,APPpktLenMIN,APPpktLenMAX,APPpktLenSTD,APPpktLenVAR,ActiveMEAN,ActiveSTD,ActiveMAX,ActiveMIN,IdleMEAN,IdleSTD,IdleMAX,IdleMIN,frameSrc,frameDst,TotPktsInFlow,firstPacketDIR,mostCommonREQ_FUNC_CODE,mostCommonRESP_FUNC_CODE,corruptConfigFragments,deviceTroubleFragments,deviceRestartFragments,pktsFromMASTER,pktsFromSLAVE,Label,log_id,expected_template,group_id,is_anomaly,annotation_note
10356,346,192.168.1.1-192.168.1.5-41538-20001,192.168.1.1,192.168.1.5,41538,20001,6, 15/05/2020  21:12:06 ,119512804,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,15.88114358,14.7599248,11.37953386,1.121218778,898592.5113,977270.7453,2001141,115,119512522,1838654.185,466716.7885,2001922,19435,119512466,1783768.149,555293.7857,2001416,678,660,66,132,680,68,272,0.552242084,0.568976693,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,13,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART,0,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
13180,771,192.168.1.12-192.168.1.8-43941-20003,192.168.1.12,192.168.1.8,43941,20003,6, 15/05/2020  21:32:07 ,118066107,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.9741017,14.85608397,11.48509114,1.118017722,901267.9924,978886.8755,2002325,586,118065414,1844772.094,465698.5796,2002980,27915,118065279,1788867.864,554092.9114,2003004,28067,650,65,130,670,67,268,0.55053903,0.567478692,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,16,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,1,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
13116,707,192.168.1.12-192.168.1.9-57817-20003,192.168.1.12,192.168.1.9,57817,20003,6, 15/05/2020  21:16:07 ,118061763,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97468945,14.85663059,11.48551373,1.118058859,901234.8321,979047.4156,2001030,555,118060887,1844701.359,467105.8798,2002087,22078,118060821,1788800.318,555258.9136,2002098,22099,650,65,130,670,67,268,0.550559286,0.567499572,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,17,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,2,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
12565,156,192.168.1.12-192.168.1.7-52856-20003,192.168.1.12,192.168.1.7,52856,20003,6, 15/05/2020  18:58:03 ,118054468,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97567658,14.85754864,11.48622346,1.118127948,901179.145,969953.6019,2000708,439,118053797,1844590.578,420136.202,2001599,87487,118053653,1788691.712,522058.5501,2001395,439,650,65,130,670,67,268,0.550593307,0.56753464,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,15,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,3,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
10725,236,192.168.1.1-192.168.1.7-59904-20001,192.168.1.1,192.168.1.7,59904,20001,6, 15/05/2020  19:18:02 ,118061728,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07633593,14.94133645,11.51939772,1.134999481,887682.1654,982556.4331,2001806,431,118060929,1816321.985,530316.0633,2002733,7854,118060849,1762102.224,608006.8365,2002437,431,660,66,132,680,68,272,0.559029595,0.575969886,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,15,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART,4,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
10217,206,192.168.1.1-192.168.1.5-41538-20001,192.168.1.1,192.168.1.5,41538,20001,6, 15/05/2020  20:02:04 ,118060981,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07643765,14.94143099,11.5194706,1.135006662,887676.5489,975641.124,2001562,216,118060693,1816318.354,505964.2729,2001823,21547,118060650,1762099.254,583708.3471,2001912,21534,660,66,132,680,68,272,0.559033132,0.57597353,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,13,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART,5,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
14462,158,192.168.1.1-192.168.1.6-33180-20001,192.168.1.1,192.168.1.6,33180,20001,6, 15/05/2020  19:38:03 ,118075163,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97287653,14.85494456,11.48421027,1.117931974,901337.1221,995978.4186,2006627,106,118074920,1844920.625,533199.5868,2006896,11539,118075015,1789015.379,610351.2722,2006832,11353,650,65,130,670,67,268,0.550496805,0.567435168,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,2,14,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,6,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
10984,495,192.168.1.1-192.168.1.6-33180-20001,192.168.1.1,192.168.1.6,33180,20001,6, 15/05/2020  20:22:05 ,118072523,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07486612,14.93997041,11.51834453,1.134895712,887763.3308,958291.8135,2001219,380,118071493,1816484.508,429480.4901,2003041,363484,118071704,1762264.239,525109.7993,2002930,380,660,66,132,680,68,272,0.558978485,0.575917227,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,2,14,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART,7,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
13117,708,192.168.1.12-192.168.1.10-55149-20003,192.168.1.12,192.168.1.10,55149,20003,6, 15/05/2020  21:16:07 ,118060663,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97483829,14.85676902,11.48562074,1.118069276,901226.4351,967503.6998,2000973,334,118059778,1844684.031,408398.0375,2001832,183699,118059646,1788782.515,512981.0491,2001759,334,650,65,130,670,67,268,0.550564416,0.56750486,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,18,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,8,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
13114,705,192.168.1.12-192.168.1.4-56526-20003,192.168.1.12,192.168.1.4,56526,20003,6, 15/05/2020  21:16:06 ,118051893,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97602505,14.85787272,11.486474,1.118152337,901159.4885,979416.8647,2000622,336,118051173,1844549.578,465631.7306,2001242,20742,118051141,1788653.652,556174.6728,2001367,336,650,65,130,670,67,268,0.550605317,0.567547019,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,12,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART,9,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> REQ_FUNC=1 EVENT=COLD_RESTART,COLD_RESTART,True,Protocol-aware DNP3 template
